Date,Open,Close,High,Low
12/6/2022,1767.9,1770.07,1780.7,1767.12
12/7/2022,1770.9,1785.78,1790.3,1768.77
12/8/2022,1786.13,1789.59,1794.6,1781.35
12/9/2022,1789.56,1796.85,1805.86,1788.28
12/10/2022,1796.85,1796.85,1796.85,1796.85
12/11/2022,0,1796.85,0,0
12/12/2022,1796.85,1781.56,1796.85,1777.71
12/13/2022,1781.24,1811.37,1814.8,1780.82
12/14/2022,1810.84,1807.35,1813.03,1796.53
12/15/2022,1806.7,1777.11,1808.58,1774.42
12/16/2022,1776.26,1792.41,1794.14,1774.38
12/17/2022,1792.41,1792.41,1792.41,1792.41
12/18/2022,0,1790.07,1793.63,1790.07
12/19/2022,1792.51,1787.39,1798.17,1783.93
12/20/2022,1787.34,1817.82,1820.45,1784.66
12/21/2022,1817.8,1814.13,1823.5,1811.62
12/22/2022,1814.04,1791.83,1820.45,1784.74
12/23/2022,1793.01,1798.16,1802.88,1790.97
12/24/2022,1798.16,1798.16,1798.16,1798.16
12/25/2022,0,1798.24,1798.24,0
12/26/2022,1798.24,1798.24,1798.24,1798.24
12/27/2022,1796.68,1812.83,1832.35,1796.52
12/28/2022,1813.77,1802.65,1814.49,1796.99
12/29/2022,1805.24,1810.33,1819.83,1804.27
12/30/2022,1814.32,1824.56,1825.85,1813.43
12/31/2022,1817.446667,1824.293333,1826.143333,1816.853333
1/1/2023,1820.573333,1824.026667,1826.436667,1820.276667
1/2/2023,1823.7,1823.76,1826.73,1823.7
1/3/2023,1828.53,1840.53,1849.95,1824.48
1/4/2023,1838.61,1855.46,1864.61,1836.34
1/5/2023,1854.5,1834.45,1858.76,1825.08
1/6/2023,1831.97,1866.07,1869.72,1831.36
1/7/2023,1866.07,1866.07,1866.07,1866.07
1/8/2023,0,1865.46,0,1865.34
1/9/2023,1867.05,1872.87,1880.9,1865.92
1/10/2023,1870.76,1877.71,1880.38,1867.71
1/11/2023,1877.42,1876.55,1886.59,1867.15
1/12/2023,1876.73,1896.95,1901.34,1875.66
1/13/2023,1895.79,1920.44,1921.67,1892.16
1/14/2023,1920.44,1920.44,1920.44,1920.44
1/15/2023,1920.55,1920.55,1920.55,1920.55
1/16/2023,1918.83,1915.42,1928.66,1910.9
1/17/2023,1916.55,1908.65,1918.74,1903.55
1/18/2023,1908.34,1904.27,1925.53,1896.44
1/19/2023,1903.48,1932.42,1934.98,1900.92
1/20/2023,1932.42,1926.96,1937.18,1920.62
1/21/2023,1926.96,1926.96,1926.96,1926.96
1/22/2023,1926.96,1926.37,1926.96,1926.08
1/23/2023,1924.68,1930.99,1935.34,1912.12
1/24/2023,1931.4,1937.89,1942.27,1918.02
1/25/2023,1937.55,1947.31,1947.31,1920.22
1/26/2023,1946.56,1929.13,1949.08,1919.04
1/27/2023,1929.76,1928.08,1934.7,1917.01
1/28/2023,1928.08,1928.8,1928.8,1928.08
1/29/2023,1928.8,1928.2,1928.8,1928.15
1/30/2023,1924.73,1922.49,1930.53,1920.95
1/31/2023,1922.61,1928.83,1930.99,1901.04
2/1/2023,1927.81,1950.36,1954.21,1920.73
2/2/2023,1953.14,1912.82,1959.52,1911.39
2/3/2023,1912.72,1865.75,1918.58,1861.38
2/4/2023,1865.75,1865.75,1865.75,1865.75
2/5/2023,1865.75,1865.11,1865.75,1865.09
2/6/2023,1865.42,1870.02,1881.1,1863.07
2/7/2023,1867.92,1872.24,1883.68,1865.24
2/8/2023,1873.01,1876.31,1885.83,1869.72
2/9/2023,1875.01,1861.43,1890.06,1858.8
2/10/2023,1861.93,1864.82,1871.67,1852.57
2/11/2023,1864.82,1864.82,1864.82,1864.82
2/12/2023,1864.87,1866.6,1866.6,1864.87
2/13/2023,1865.21,1853.62,1865.94,1850.38
2/14/2023,1853.63,1855.71,1869.73,1843.69
2/15/2023,1853.74,1834.14,1859.53,1830.82
2/16/2023,1836.73,1837.87,1845.14,1827.54
2/17/2023,1835.35,1841.46,1843.53,1818.75
2/18/2023,1841.46,1841.46,1841.46,1841.46
2/19/2023,1841.46,1841.46,1841.46,1841.46
2/20/2023,1841.46,1841.44,1847.38,1837.2
2/21/2023,1842.29,1835.13,1843.67,1830.27
2/22/2023,1835.06,1825.26,1845.57,1823.66
2/23/2023,1825.46,1824.29,1833.8,1817.84
2/24/2023,1822.67,1811.04,1827.83,1809.08
2/25/2023,1811.04,1811.04,1811.04,1811.04
2/26/2023,0,1811.04,0,0
2/27/2023,1812.06,1816.48,1820.03,1806.77
2/28/2023,1817.48,1826.65,1830.97,1805.18
3/1/2023,1827.09,1836.79,1844.49,1823.15
3/2/2023,1837.7,1835.8,1838.65,1830.15
3/3/2023,1836.45,1855.22,1856.36,1836.44
3/4/2023,1855.22,1855.22,1855.22,1855.22
3/5/2023,0,1855.36,1855.36,0
3/6/2023,1853.65,1848.13,1857.88,1845.34
3/7/2023,1846.37,1813.51,1851.61,1812.8
3/8/2023,1814.19,1815.38,1823.92,1809.53
3/9/2023,1814.6,1829.94,1835.08,1812.3
3/10/2023,1831.11,1868.14,1870.03,1827.84
3/11/2023,1868.14,1868.14,1868.14,1868.14
3/12/2023,0,1879.43,1893.71,0
3/13/2023,1886.39,1910.47,1914.51,1871.64
3/14/2023,1910.36,1904.14,1914.1,1895.74
3/15/2023,1904.64,1919.62,1937.07,1885.96
3/16/2023,1921.16,1919.35,1933.31,1907.66
3/17/2023,1920.04,1989.01,1989.24,1918.55
3/18/2023,1989.01,1989.01,1989.01,1989.01
3/19/2023,0,1989.01,0,0
3/20/2023,1976.58,1978.4,2009.3,1966.38
3/21/2023,1978.19,1941.43,1985.08,1935.57
3/22/2023,1942.01,1967.25,1977.93,1934.97
3/23/2023,1967.5,1991.03,2003.14,1966.3
3/24/2023,1992.64,1977.47,2002.8,1975.25
3/25/2023,1977.47,1977.66,1977.66,1977.47
3/26/2023,1977.66,1977.66,1977.66,1977.66
3/27/2023,1975.36,1956.92,1978.65,1944.5
3/28/2023,1957.81,1974.06,1975.2,1949.35
3/29/2023,1973.51,1964.39,1974.45,1958.94
3/30/2023,1964.09,1978.62,1984.31,1955.8
3/31/2023,1980.05,1969.84,1986.67,1967.05
4/1/2023,1969.84,1969.84,1969.84,1969.84
4/2/2023,1969.84,1969.84,1969.84,1969.84
4/3/2023,1969.84,1984.48,1990.48,1949.8
4/4/2023,1985.36,2020.34,2024.95,1977.25
4/5/2023,2021.29,2020.73,2031.93,2010.79
4/6/2023,2021.51,2008.37,2021.51,2001.36
4/7/2023,2008.37,2008.27,2009.4,2008.27
4/8/2023,2008.27,2008.27,2008.27,2008.27
4/9/2023,2008.27,2008.37,2008.37,2008.27
4/10/2023,2009.82,1990.33,2009.88,1981.75
4/11/2023,1991.59,2003.19,2007.4,1988.89
4/12/2023,2003.67,2014.21,2028.05,2001.86
4/13/2023,2014.36,2040.06,2048.27,2014.14
4/14/2023,2040.31,2004.4,2047.44,1992.73
4/15/2023,2004.4,2004.4,2004.4,2004.4
4/16/2023,2004.4,2004.4,2004.4,2004.4
4/17/2023,2002.78,1995.12,2014.9,1981.41
4/18/2023,1994.82,2005.3,2011.8,1991.51
4/19/2023,2005.34,1993.59,2008.1,1969.36
4/20/2023,1994.66,2004.69,2012.15,1990.65
4/21/2023,2004.24,1982.44,2005.5,1971.89
4/22/2023,1982.44,1982.44,1982.44,1982.44
4/23/2023,1982.44,1982.44,1982.44,1982.44
4/24/2023,1982.44,1989.25,1990.85,1974.95
4/25/2023,1992.26,1998.24,2003.72,1976.2
4/26/2023,1997.43,1989.85,2008.56,1983.58
4/27/2023,1990.09,1988.24,2003.17,1974.84
4/28/2023,1987.58,1989.7,1994.86,1978.18
4/29/2023,1989.7,1989.7,1989.7,1989.7
4/30/2023,0,1989.7,0,0
5/1/2023,1989.93,1982.42,2005.73,1977.26
5/2/2023,1981.93,2016.69,2018.97,1978.64
5/3/2023,2016.2,2039.37,2040.3,2010.29
5/4/2023,2045.55,2051.72,2062.83,2030.85
5/5/2023,2049.13,2016.57,2052.95,1999.8
